DOMAIN,SORT CODE,INDICATOR,TERESA NOTE (DATA PROVENANCE),ROB CATALOGUE NOTE,PREP MEETING NOTES,RESPONDENT 1,RESPONDENT 2,RESPONDENT 3,RESPONDENT 4,RESPONDENT 5,RESPONDENT 6,RESPONDENT 7,RESPONDENT 8,RESPONDENT 9,RESPONDENT 10,RESPONDENT 11,RESPONDENT 12,RESPONDENT 13,notes JM,notes GH,notes TB,notes CL,notes MW,notes SC,notes RB
DEMOGRAPHICS,DEMO1,Estimated population aged 65 years and over by sex and year ('000),PEA01,,? Remove because this is estimated (Projected inter-censal years?),1,2,1,1,1,1,1,1,1,1,1,1,1,,,,,,,
DEMOGRAPHICS,DEMO2,Projected population aged 65 years and over by age group and year using the M2 projection scenario ('000),PEC23C01,,Possibly keep instead of DEMO9,1,1,1,1,3,1,2,2,1,1,1,1,1,,,Clarification required between this indicator and the one below A10 (number and proportion of 65+ population (projected),,,,
DEMOGRAPHICS,DEMO3,Projected Dependency Ratios from 2022,PEC22C01,,,1,1,1,2,1,1,0,3,1,1,3,3,1,,,,,,,Not clear to me what this is or means
DEMOGRAPHICS,DEMO4,"Cumulative percentage increase in population, all ages and 65+ for Ireland and EU−27, 2013 to 2022",Eurostat,,Is it useful at IHA? A little outdated - could put in percentage population change since last Census instead of this,2,1,2,4,2,3,2,3,1,3,3,1,1,,,"uncertain of the value of this indicator given the timeframe is 2013-2022; although a comapartive between 65+ populations across EU countries may be valuable at a national level, I'm uncertain how it can add value at IHA level.",,,,
DEMOGRAPHICS,DEMO5,Deprivation distribution by 8-point Pobal HP index for those aged 65 and over,Core Indicator List,,,1,1,1,1,1,1,1,1,1,1,2,2,1,,,,,,,
DEMOGRAPHICS,DEMO6,Ethnicity of those aged 65+ ,Core Indicator List,,,1,1,1,1,1,1,2,1,1,1,1,2,1,,,,,,,
DEMOGRAPHICS,DEMO7,Speakers of foreign language by ability to speak English for those aged 65+,Core Indicator List,,,2,1,1,2,3,1,2,2,2,1,4,2,1,,,,,,,
DEMOGRAPHICS,DEMO8,Number and proportion of population aged 65 years and over,Core Indicator List,,,1,1,1,1,1,2,1,1,1,1,1,1,1,,,,,,Proportion to total population? ,Seems to overlap with row 2
DEMOGRAPHICS,DEMO9,Number and proportion of population aged 65 years and over (projected),Core Indicator List,,Similar to DEMO2? But DEMO9 is not very clear and DEMO2 may be clearer and more specific,1,1,1,3,1,2,2,2,1,1,1,1,1,,,,,,Proportion to total population? ,
DEMOGRAPHICS,DEMO10,Population aged 65+ years by ability to speak Irish,Health Atlas Ireland (HAI) Census parameters,,,3,2,2,3,3,2,3,3,2,2,3,3,2,,,,,,,
DEMOGRAPHICS,DEMO11,Speakers of foreign languages by language spoken for those aged 65+,HAI Census parameters,,,2,2,2,3,2,1,1,3,2,2,3,3,2,Probably highest priority to know if they can speak English and then which language they do speak for planning resources needed,,,,,,
DEMOGRAPHICS,DEMO12,Speakers of foreign languages by ability to speak English for those aged 65+,HAI Census parameters,,,2,2,1,2,3,1,2,3,2,1,3,3,2,,,,,,,
DEMOGRAPHICS,DEMO13,"Carers by sex: Proportion of the population age 65+  providing regular unpaid care or support to a family member, neighbour or friend with a long-term illness, old age or a disability. Displayed as: Female; Male. ",HAI Census parameters,,,3,1,2,2,1,1,2,1,1,1,1,1,1,Also many over 65's provide care to grandchildren,,,,,,
DEMOGRAPHICS,DEMO14,Population aged 65+ years by principal economic status: At work; Looking for first regular job; Unemployed short term; Unemployed long term; Student; Looking after home/family; Retired; Unable to work due to permanent sickness or disability; Other.,Direct from Census,,,2,1,1,2,1,1,1,2,1,1,2,2,1,,,,,,,
DEMOGRAPHICS,DEMO15,Proportion of Population aged 65+ by social class and sex.,Direct from Census,,,1,1,1,2,2,2,1,1,1,1,1,3,1,,,,,,,
DEMOGRAPHICS,DEMO16,Proportion of Population aged 65+ by marital status.,Direct from Census,,,1,1,2,3,2,2,2,1,1,1,3,2,1,,,,,,,
DEMOGRAPHICS,DEMO17,Percentage of older adults (65+) who experienced ageism/discrimination,Tilda,,Two components; Ageism and discrimination (TILDA) Discrimination (only) is also represented in Vulnerable groups. What year does this relate to?,1,1,3,4,2,2,2,2,2,1,3,3,3,,,discrimination' indicator appears under 'Vulnerable groups',,,,
HEALTH STATUS,STAT1,Healthy Life Years (HLY) at 65,WBD08C01,WBD08C01,,3,1,1,3,1,1,1,1,1,1,1,1,1,,,,,,"All variables with ID starting ""WBD"", ""IH"" or ""HIS"" likely only available nationally. IH 2024 onwards available by health region",Definion of HLY is unknown to me
HEALTH STATUS,STAT2,"Percent of persons over 65+ who are underweight, normal weight, overweightor obese",IH308C01,IH308C01,Irish Health Survey - very similar to STAT42,1,1,2,3,1,1,1,1,1,3,3,1,1,? Should this one come from TILDA ,,2 indicators on O/Weight & Obesity:   A3 source is from Irish Health Survey 2019.  A43 below is a TILDA indicator  Discussion required to select one only. ,,,,
HEALTH STATUS,STAT3,"Percent of people 65 and above with Low, Medium, High, Not Stated overall life satisfaction",WBB64C01,WBB64C01,,2,1,1,3,1,2,2,1,1,2,2,2,1,,,,,,,
HEALTH STATUS,STAT4,"Percent of people 65 and over with Low, Medium, High, Not Stated satisfaction with time use (amount of leisure time)",WBB64C02,WBB64C02,,3,2,2,3,3,2,2,3,2,2,2,3,2,,,,,,,
HEALTH STATUS,STAT5,Persons aged 65 and older - With personal care difficulties (%),IH199C01,IH199C01,,2,1,1,3,2,1,1,1,1,2,2,1,2,,,,,,,
HEALTH STATUS,STAT6,Persons aged 65 and older - Who would usually receive help for at least one activity (%),IH199C03,IH199C03,,2,1,1,3,1,1,1,1,1,2,2,2,2,,,,,,,
HEALTH STATUS,STAT7,Percentage of individuals 65 and above who are feeling happy by frequency and year,WBB22C02,WBB22C02,"can we use 2 out of the 3 SILC indicators but not use the Loneliness indicator (instead, using the TILDA loneliness indicator elsewhere)",2,1,2,3,3,3,2,3,1,2,1,4,1,,,Indicator WBB22C02 '65+ who are feeling happy by frequency and year' and WBB22C03 ' 65+ who are feeling downhearted or depressed' are two varibales from a suite of emotional well-being indicators reported by SILC (2024).  The thrid variable relates to '65+ who are feeling lonely'.   Should the same source be used for all  3 emotional well-being indicators ? (i.e. SILC)?,,,"Life satisfaction may be a better indicator, considered to be a more stable long term one",
HEALTH STATUS,STAT8,Percentage of individuals 65 and above who are feeling downhearted or depressed by frequency and year ,WBB22C03,WBB22C03,,1,1,2,3,2,3,1,2,1,2,1,4,1,,DUPLICATE IN CHRONIC DISEASE DOMAIN,,,,Other depression or anxiety metrics may be more appropriate,
HEALTH STATUS,STAT9,Percent of Persons over 65 with a Disability ,F4001C01,F4001C01,,1,1,1,3,1,0,1,1,1,1,1,1,1,,,,,,,
HEALTH STATUS,STAT10,Percent of people 65 and above who are limited or severely limited by year,HIS05C01,HIS05C01,Healthy Ireland indicator - should STA37 be a preferred indicators,2,2,2,3,3,1,3,1,1,4,1,4,1,This indicator is a bit unclear to me in terms of what we mean by limited/severely limited,,See A38 - the C22 indicator - is this the same as this one?,,,"The SILC and IHS metrics may be more appropriate here. GALI is the measurement used by Eurostat, so it would be directly comparable",Limited at what?
HEALTH STATUS,STAT11,Percentage of people 65 and above with a confirmed long-term condition ,HIS07C01,HIS07C01,,2,1,1,2,1,1,1,1,1,3,1,1,1,,,This is a Healthy Ireland indicator.   Should the SILC or Irish Health survey be used instead,,,"As above, also collected in SILC and IHS. ",
HEALTH STATUS,STAT12,Percent of people 65 and above who are in the High Energy and Vitality group on the Energy and Vitality Index,HIS55C01,HIS55C01,,3,2,2,3,3,2,2,2,2,2,3,3,2,,,,,,PHQ-9 or WHO-5 from IHS may be preferable for EU comparators,
HEALTH STATUS,STAT13,Percent of people 65 and above who have a probable mental health problem on the Energy and Vitality Index,HIS55C02,HIS55C02,,3,2,2,3,3,2,1,2,1,2,3,3,2,,,,,,As above,
HEALTH STATUS,STAT14,Percent of people 65 and above who rate their quality of life as good or very good,HIS57C01,HIS57C01,Healthy Ireland indicator - could be confusion - should we keep this in if we already have health status?,1,1,1,2,1,3,2,2,1,2,1,1,1,,," This Healthy Ireland indicator relates to 'quality of life', as distinct to 'general health'.  Both HI 2024 and Census 2022 provide indicators for 'General Health status' as distinct from Quality of life.   ",,,"Internationally, this tends to be a multidimensional measure, rather than a single question. Quality of life and well-being occasionally considered interchangably. ",
HEALTH STATUS,STAT15,Percent of people 65 and above who rate their quality of life as poor or very poor,HIS57C02,HIS57C02,Healthy Ireland indicator - could be confusion - should we keep this in if we already have health status?,1,1,1,2,1,3,2,2,1,2,1,1,1,,," This Healthy Ireland indicator relates to 'quality of life', as distinct to 'general health'.  Both HI 2024 and Census 2022 provide indicators for 'General Health status' as distinct from Quality of life.   ",,,"If included, then poor or very poor may be the more meaningful measure",
HEALTH STATUS,STAT16,Percent of people 65 and over who to their knowledge had been infected with COVID-19 per year ,HIS59C01,HIS59C01,,3,2,2,2,3,3,2,3,4,3,4,4,2,,,,,Could be interesting for long COVID bit not essential,,
HEALTH STATUS,STAT17,"Percent of people 65 and above who returned to usual health after COVID-19 infection in less than 1 month, 1 month or more but less than 1 year, 1 year or more but less than 2 years, in 2 years or longer",HIS61C01,HIS61C01,,2,2,2,4,4,2,3,3,3,4,4,3,2,,,,,Ditto,,"Seems an awkward way to establish who has long covid, not clear if applies to current state"
HEALTH STATUS,STAT18,Percent of people 65 and over who rate the quality of their sleep at night as fairly good or very good,HIS63C01,HIS63C01,Flag with expert panel - which sleep indicator?,3,3,2,4,2,2,2,2,1,4,4,3,3,,,Suggest only selecting one indicator on sleep quality - and the indicator below HIS65C01 may provide more value than this one - but to be discussed,,,,
HEALTH STATUS,STAT19,"Percent of people 65 and over who sleep 6 or less hours a night, more than 6 and up to 7 hours a night, more than 7 and up to 8 hours a night, more than 8 hours a night",HIS65C01,HIS65C01,Age component is over 65.,3,3,2,4,4,3,2,2,1,3,4,3,3,,,,,,Is there an age component to this? ,
HEALTH STATUS,STAT20,Percent of people aged 65 and above who have taken an antibiotic in the last 12 months by sex and year,HIS27C01,HIS27C01,Healthy Ireland survey. But may not be possible to get independent PCRS data - can CSO source the data?,3,1,2,4,3,2,2,2,2,3,4,4,1,,,,,,PCRS admin data may be a better source,
HEALTH STATUS,STAT21,Number of people aged 65+  who are blind or have a visual impairment,Core Indicator List,Core Indicator List,"Clarity on definition - what is the definition of ""blind""",1,1,1,1,3,1,2,1,1,1,2,1,1,,,,,,Does visual impairment include glasses or contact lenses?,
HEALTH STATUS,STAT22,Number of people aged 65+  who are blind or have a visual impairment by sex,Core Indicator List,Core Indicator List,,3,1,1,3,2,1,1,1,1,2,4,1,1,,,,,,,"Overlap with row 22, 24"
HEALTH STATUS,STAT23,Ethnicity of people aged 65+ who are blind or have a visual impairment,Core Indicator List,Core Indicator List,,1,1,1,3,3,1,2,2,1,4,2,3,3,,,Unsure of how important it would be to know the ethnicity of 65+ with visual impairment - numbers I suspect will be very low,,,,
HEALTH STATUS,STAT24,Deprivation level of people aged 65+ who are blind or have a visual impairment,Core Indicator List,Core Indicator List,,1,1,1,3,2,1,1,2,1,2,4,3,3,,,,,,,
HEALTH STATUS,STAT25,Employment status of people aged 65+ who are blind or have a visual impairment,Core Indicator List,Core Indicator List,,1,2,2,3,2,1,2,2,1,3,4,3,3,,,,,,,
HEALTH STATUS,STAT26,Self-reported health of people aged 65+ who are blind or have a visual impairment,Core Indicator List,Core Indicator List,,1,1,1,3,2,1,2,1,1,3,4,3,3,,,,,,,
HEALTH STATUS,STAT27,Number of people aged 65+ who are deaf or have a hearing impairment,Core Indicator List,Core Indicator List,,1,1,1,3,3,1,2,1,1,1,4,1,3,,,,,,,
HEALTH STATUS,STAT28,Number of people aged 65+ who are deaf or have a hearing impairment by sex,Core Indicator List,Core Indicator List,,1,1,1,2,2,1,1,1,1,2,4,1,3,,,,,,,"Overlap with row 28, 30"
HEALTH STATUS,STAT29,Ethnicity of people aged 65+  who are deaf or have a hearing impairment,Core Indicator List,Core Indicator List,,1,1,2,3,2,1,2,2,1,4,4,3,3,,,Unsure of how important it would be to know the ethnicity of 65+ with hearing impairment - numbers I suspect will be very low,,,,
HEALTH STATUS,STAT30,Deprivation level of people aged 65+ who are deaf or have a hearing impairment,Core Indicator List,Core Indicator List,,1,1,1,3,2,1,1,2,1,3,4,3,3,,,,,,,
HEALTH STATUS,STAT31,Employment status of people aged 65+ who are deaf or have a hearing impairment,Core Indicator List,Core Indicator List,,1,2,2,3,2,1,2,1,1,3,4,3,2,,,,,,,
HEALTH STATUS,STAT32,Self-reported health of people aged 65+ who are deaf or have a hearing impairment,Core Indicator List,Core Indicator List,,1,1,1,3,2,1,2,1,1,3,4,3,2,,,,,,,
HEALTH STATUS,STAT33,Population by general health.  Self-reported general health of 65+ (Displayed  as: Very good; Good; Fair; Bad; Very bad; Not stated),HAI Census parameters,HAI Census parameters,,2,1,1,1,1,1,1,1,1,1,4,4,1,,duplicate,,,,,
HEALTH STATUS,STAT34,Population by general health - female. Self-reported general health of 65+ (Displayed  as: Very good; Good; Fair; Bad; Very bad; Not stated),HAI Census parameters,HAI Census parameters,,3,1,1,2,2,1,2,1,1,1,1,4,1,,duplicate,,,,,
HEALTH STATUS,STAT35,Population by general health - Male. Self-reported general health of 65+ (Displayed  as: Very good; Good; Fair; Bad; Very bad; Not stated),HAI Census parameters,HAI Census parameters,,3,1,1,2,2,1,2,1,1,1,1,4,1,,duplicate,,,,,
HEALTH STATUS,STAT36,"Propotion of the population aged 65+ who have a difficulty with basic physical activities such as walking, climbing stairs, reaching, lifting or carrying (Yes, to a great extent, Yes to some extent, No)",Direct from Census,Direct from Census,,2,1,1,2,1,1,1,1,1,1,4,2,2,,,,,,,
HEALTH STATUS,STAT37,"Proportion of the population aged 65+, as a result of a long-lasting condition, have difficulty doing any of the following: Dressing, bathing or getting around inside the home; Going outside the home to shop or visit a doctor’s surgery; Working at a job or business or attending school or college; Participating in other activities, for example leisure or using transport. ",Direct from Census,Direct from Census,Direct from Census 2022 - preferred indicator?,2,1,1,2,1,1,1,1,1,1,2,4,2,,duplicate,,,,,
HEALTH STATUS,STAT38,"Proportion of the population aged 65+ who have a difficulty with learning, remembering or concentrating.",Direct from Census,Direct from Census,,2,1,1,3,1,1,1,2,1,1,2,2,2,,,,,,,
HEALTH STATUS,STAT39,Percentage of older adults (65+)who reported a fall in the previous two years,Tilda,Tilda,,1,1,1,2,1,1,1,1,1,1,1,2,1,,,,,,,
HEALTH STATUS,STAT40,Percentage of older adults (65+) who report limitations in Activites in Daily Living (ADLs),Tilda,Tilda,,2,1,1,2,1,3,1,1,1,3,1,4,1,,duplicate,If Census data can provide data on ADL's - choose Census over TILDA,,Some of these items overlap with rows 37 and 38. CSO would be a better source than TILDA lathough not as frequent,"Census variables on difficulties are similar to ADLs, may be more valuable",
HEALTH STATUS,STAT41,Percentage of older adults  (65+)who report limitations in Instrumental Activities in Daily Living (IADLS),Tilda,Tilda,,2,1,1,2,1,0,2,1,1,3,1,4,2,,duplicate,If Census data can provide data on ADL's - choose Census over TILDA,,,,
HEALTH STATUS,STAT42,"Percentage of older adults (65+) who are underweight, overweight and obese",Tilda,Tilda,Preferred indicator (from TILDA),2,1,2,2,1,1,1,1,1,3,4,4,2,,duplicate,2 indicators on O/Weight & Obesity:   A3 source above is from Irish Health Survey 2019.  A43 below is a TILDA indicator  Discussion required to select one only. ,,,,
HEALTH STATUS,STAT43,"Percentage of older adults (65+) with low, medium and high physical activity levels (Short IPAQ questionnaire)",Tilda,Tilda,"?Move in under Health behaviours? Feedback from Expert Panel - 2 indicators on physical activity. What is meant by low, medium and high physical activity",3,1,2,2,1,1,1,1,1,1,4,4,2,,duplicate,"Using IPAQ to determine physical activity levels is the recognised gold standard - would be important if using this indicator to define low, medium and high levels of physical activity (e.g. in minutes per week or meeting currecnt physical activity recommendations).  NOTE: A PHYSICAL ACTIVITY INDICATOR IS ALSO INCLUDED UNDER HEALTH BEHAVIOURS in A14.  SELECT ONE PHYSICAL ACTIVITY INDICATOR ONLY?",,,,
HEALTH STATUS,STAT44,Average self-reported loneliness among older adults (65+)(UCLA loneliness),Tilda,Tilda,,2,1,1,2,1,1,1,1,1,3,2,2,2,,,Emotional wellbeing indicator on loneliness reported by SILC (2024) ;  Question SILC Vs TILDA?,,,,
HEALTH STATUS,STAT45,Frequency of loneliness in a week as reported by older adults aged 65+,Tilda,Tilda,,3,1,1,2,1,3,2,1,1,3,3,2,2,,,Emotional wellbeing indicator on loneliness reported by SILC (2024) :  Question SILC Vs TILDA?,,,,
HEALTH BEHAVIOURS,BEHV1,Preventative Measures in the last 12 months of persons aged 65 years and over - Had blood pressure measured,IH279C01,,"Irish Health Survey 2019 - can we get latest data? Should we place under Preventive measures? If small numbers, can we include in IHA?",1,1,1,3,1,2,2,1,3,2,1,1,1,,,Source is Irish Health Survey 2019.,,,Small numbers,
HEALTH BEHAVIOURS,BEHV2,Preventative Measures in the last 12 months of persons aged 65 years and over - Had blood cholesterol measured,IH279C02,,"Irish Health Survey 2019 - can we get latest data? Should we place under Preventive measures? If small numbers, can we include in IHA?",1,1,1,3,2,2,2,1,3,2,1,1,1,,,Source is Irish Health Survey 2019.,,,Small numbers,
HEALTH BEHAVIOURS,BEHV3,Preventative Measures in the last 12 months of persons aged 65 years and over - Had blood sugar measured,IH279C03,,"Irish Health Survey 2019 - can we get latest data? Should we place under Preventive measures? If small numbers, can we include in IHA?",1,1,1,3,1,2,2,1,3,2,1,1,1,These 3 could be presented together under preventative measures,,Source is Irish Health Survey 2019.,,,Small numbers,
HEALTH BEHAVIOURS,BEHV4,Preventative Measures in the last 12 months of persons aged 65 years and over - Had a Faecal Occult Test,IH279C04,,"Irish Health Survey 2019 - can we get latest data? Should we place under Preventive measures? If small numbers, can we include in IHA?",1,1,2,2,2,2,2,1,3,2,1,1,1,group this with screening uptake perhaps?,,Source is Irish Health Survey 2019.,,,Small numbers,
HEALTH BEHAVIOURS,BEHV5,Preventative Measures in the last 12 months of persons aged 65 years and over - Had a colonoscopy,IH279C05,,"Irish Health Survey 2019 - can we get latest data? Should we place under Preventive measures? If small numbers, can we include in IHA?",2,1,2,3,2,2,2,1,3,2,1,4,1,,,Source is Irish Health Survey 2019.,,,Small numbers,
HEALTH BEHAVIOURS,BEHV6,Frequency of walking by sex and age group,NTA81,,Remove BEH6 and replace with BEH13,1,3,2,4,1,2,1,3,2,2,4,2,2,physical activity  - number 14 is better,,,,,,
HEALTH BEHAVIOURS,BEHV7,"Percent of people 65 and above who drink more than once per week, only once per week, 1-3 times per month, ho have not drank in a month or longer, who have never drank ",HIS15C01,,"Healthy Ireland - would binge drinking in over 65s not tell us more - available over 65 and it is available in Healthy Ireland, but did not make the original cut",1,1,2,2,1,1,1,1,1,3,2,1,3,,,If using this indicator - a defintion needs to be included in the Profile.   this indicator refers to alcohol consumption in the past 12 months.  All of these indicators on alcohol appear to be bunched together here - this only gives an indication as to the 'frequecy of alcohol consumption' - would it be better to use an indicator for 'binge drinking' in 65+?   Healthy Ireland provides data on binge drinking for the age cohorts 65-74 and 75+;  see indicator HIS47C01.,,,,
HEALTH BEHAVIOURS,BEHV8,"Percent of people 65 and above who consume fruit at least once a day, less than once per week, 1 to 3 times a week, 4 to 6 times a week, never consume fruit",HIS33C01,,,2,1,2,3,1,1,2,2,1,4,4,4,3,,duplicate,"Regarding indicators for fruit and vegetables - the national dietary recommendation is to consume 5 or more protions of fruit and vegetables per day - suggest sticking with this national dietary recommendation and therefore the indicators HIS33C01 (5 portions or more of fruit/day) and HIS39C01 (5 or more portions of vegetables/day) would need to be combined.   While separating out fruit consumption from vegetable consumption is of interest to niche audiences such as 'Dietitians', I think having one indicator to represent a national dietary recommendation is more important.  
The indicator might be 'Daily consumption of five or more fruits and vegetables by age and gender (%)'",,,,
HEALTH BEHAVIOURS,BEHV9,"Percent of people 65 and above who consume 1 portion of fruit a day, 2 portions a day, 3 portions a day, 4 portions a day, 5+ portions a day",HIS35C01,,BEHV8 a better indicator?,2,3,2,3,2,1,2,2,1,4,4,1,3,captured better with number 9,,see comment in D9 above,,,,
HEALTH BEHAVIOURS,BEHV10,"Percent of people 65 and above who consume vegetables at least once a day, 1 to 3 times a week, 4 to 6 times a week, less than once a week, never consume vegetables",HIS37C01,,Is it possible to combined fruit and veg into a single indicator?,3,1,2,3,2,1,1,2,1,4,4,4,3,,duplicate,see comment in D9 above,,,,
HEALTH BEHAVIOURS,BEHV11,"Percent of people 65 and over who consume 1 portion, 2 portions, 3 portions, 4 portions, 5+ portions of vegetables a day",HIS39C01,,Should we look at daily portions or weekly portions?,3,3,2,3,2,1,2,2,2,4,4,1,3,,,see comment in D9 above,,,,
HEALTH BEHAVIOURS,BEHV12,Percent of people 65 and over who use e-cigarettes,HIS41C01,,Small number data?,2,1,1,4,2,1,1,1,1,1,1,3,2,,,,,,Very small numbers,
HEALTH BEHAVIOURS,BEHV13,Percent of people 65 and above achieving National Physical Activity Guidelines by sex and year,HIS67C01,,Preferred Physical Activity indicator (replacing BEH6),2,1,1,3,1,1,1,1,1,3,4,3,2,,I'd question universality of knowledge re-guidelines in pop'n ,A physical activity indicator (TILDA) is included under Health Status (A44) - SELECT ONE PHYSICAL ACTIVITY INDICATOR ONLY - possibly the TILDA indicator?,,,,
HEALTH BEHAVIOURS,BEHV14,Percent of people 65 and above who visited a Nurse in the last twelve months by sex and year,HIS19C01,,Consider move to HEALTH USE,3,3,2,4,1,1,2,1,0,1,4,4,1,"not sure if this adds much - not clear is it practice nurse, PHN, mental health nurse, hospital clinic nurse, CDM hub - it is a bit non-specific",not clear enough,,,,should this be in the healthcare use tab?,
HEALTH BEHAVIOURS,BEHV15,Persons who smoke: Proportion of population aged 65+ who smoked tobacco. (Displayed as: Yes - daily;  Yes - occasionally; No - have given up smoking; Never),Direct from Census,,,1,1,1,2,1,1,1,1,1,1,1,1,2,,,,,,,
HEALTH BEHAVIOURS,BEHV16,Percentage of older adults (65+) who have had a flu vaccine in the previous two years,Tilda,,,1,1,1,2,1,1,2,1,2,3,1,1,1,,,Source flu vaccine data for 65+  from HPSC instead of TILDA,,,,
HEALTH BEHAVIOURS,BEHV17,Percentage of older adults  (65+) who have had a COVID vaccine,Tilda,,,1,1,1,3,3,1,2,1,2,3,1,2,1,,,Source COVID vaccine data for 65+  from HPSC instead of TILDA,,,,
HEALTH BEHAVIOURS,BEHV18,Percentage of older adults (65+) who have had a blood test for cholesterol,Tilda,,Consider group with preventive measures,1,1,1,4,2,1,3,1,1,3,1,4,1,group this with preventative measures 1-3,duplicate,,,,,
HEALTH BEHAVIOURS,BEHV19,Percentage men 65+ who have had a prostate exam,Tilda,,Consider group with preventive measures,1,1,2,4,2,1,1,1,1,1,4,2,1,group this with preventative measures 1-3,,,,,,
HEALTH BEHAVIOURS,BEHV20,Percentage men 65+ who have had a PSA blood test,Tilda,,Consider group with preventive measures,2,1,2,3,2,1,2,1,3,1,4,3,1,"group this with preventative measures 1-3, don’t have a prostate screening program as such",,,,,,
HEALTH BEHAVIOURS,BEHV21,Percentage women 65+ who have had a Mammogram/X-ray,Tilda,,Clarity on definition - could move into prevention,1,1,2,3,2,1,1,1,1,3,1,2,1,I don’t understand - presume it should be mammogram/ultrasound. Group this with screening data if that is the case,,Source mammogram data from Breastcheck instead of TILDA,,,,
HEALTH BEHAVIOURS,BEHV22,Percentage women 65+ who check for breast lumps,Tilda,,Could move into prevention,2,1,2,4,2,1,1,1,1,3,3,2,1,preventative behaviour,,,,,,
HEALTH BEHAVIOURS,BEHV23,Percentage of older adults (65+) meeting the recommended guidelines for sleep duration,Tilda,,,3,3,1,3,1,1,1,2,1,3,4,4,2,,I'd question universality of knowledge re-guidelines in pop'n ,other indicators on sleep are under health status A19 and A 20,,,Repeat of sleep behaviours in health status tab?,
CHRONIC DISEASES,CHRD1,Percentage of older adults  (65+)who have a chronic disease,Tilda,,,1,1,1,3,1,1,1,1,1,1,1,4,1,,duplicate to HISO7CO1 ON HEALTH STATUS DOMAIN - ? WHICH IS SUPERIOR,,,,,
CHRONIC DISEASES,CHRD2,Percentage of older adults (65+) who have a cardiovascular disease,Tilda,,,1,1,1,3,2,1,1,1,1,1,1,1,1,,,,,,,
CHRONIC DISEASES,CHRD3,Percentage of older adults  (65+)who report severe or moderate pain most of the time,Tilda,,,1,1,1,3,1,1,1,1,1,1,1,2,1,,,,,,,
CHRONIC DISEASES,CHRD4,Percentage of older adults  (65+)who show evidence of mild cognitive impairment,Tilda,,,2,1,2,4,1,1,2,1,1,1,1,3,1,,Challenging - This is a specific disease code thru ICD-10: CODE g31.84,,,,,
CHRONIC DISEASES,CHRD5,Percentage of older adults (65+) with depression (CESD-8),Tilda,,Bring into broader discussion about loneliness as well - consider SILC data 2024,1,1,2,3,1,1,1,1,1,1,1,1,1,,,Note previous reference to 65+ feeling downhearted and depressed - SILC 2024 data  indicator WBB22C03,,Not necessarilty CED-8 but some measure of depressive symptomology is essential,,
