DOMAIN,SORT CODE,INDICATOR,TERESA NOTE (DATA PROVENANCE),ROB CATALOGUE NOTE,PREP MEETING NOTES,RESPONDENT 1,RESPONDENT 2,RESPONDENT 3,RESPONDENT 4,RESPONDENT 5,RESPONDENT 6,RESPONDENT 7,RESPONDENT 8,RESPONDENT 9,RESPONDENT 10,RESPONDENT 11,RESPONDENT 12,RESPONDENT 13,notes JM,notes GH,notes TB,notes CL,notes MW,notes SC,notes RB
CHRONIC DISEASES,CHRD6,Percentage of older adults (65+) who report problematic alcohol use (CAGE measure),Tilda,,Bring into broader discussion about loneliness as well - consider SILC data 2024,1,1,1,3,1,1,1,1,1,1,1,3,2,I think this should read CAGE measure,,note previous reference to alcohol consumption under health behaviours and comment re the need to select indicator on binge drinking (H.I. survey source),,,,
VULNERABLE GROUPS,VULN1,Persons aged 65 years and over who experienced discrimination (%),EQQ03C01,,QHNS data latest data Q1 2019 - what is the latest date available?,1,1,1,3,2,1,2,2,1,1,3,2,3,captured in demographics also,,An ageism/discrimination indicator also appears under 'DEMOGRAPHICS' - a TILDA source,,,,
VULNERABLE GROUPS,VULN2,Number of homeless persons aged 65+,Core Indicator List,,,1,1,1,1,1,1,1,1,1,1,1,1,2,,,,,,,
VULNERABLE GROUPS,VULN3,Number of Travellers aged 65+,Core Indicator List,,,1,1,1,1,1,1,1,1,1,1,1,1,2,,,,,,,
VULNERABLE GROUPS,VULN4,Travellers aged 65+ experiencing at least one long-lasting condition or difficulty to any extent,Core Indicator List,,,1,1,2,3,2,1,2,1,1,1,3,1,2,,,,,,,
VULNERABLE GROUPS,VULN5,Travellers' aged 65+ self-reported general health (very bad to very good),Core Indicator List,,,1,1,1,2,2,1,2,1,1,1,2,2,2,,,,,,,
VULNERABLE GROUPS,VULN6,Smoking prevalence among Travellers aged 65+,Core Indicator List,,,1,1,1,2,2,1,1,1,1,1,3,1,2,,,,,,,
VULNERABLE GROUPS,VULN7,Number of persons aged 65 years and over usually resident in a nursing home home/residential facility or hospital by sex and census year,Core Indicator List,,,2,1,2,1,1,1,1,1,1,1,1,1,1,,,,,,,
VULNERABLE GROUPS,VULN8,Number of persons funded under Nursing Home Support Scheme (NHSS) in long term residential care,Core Indicator List,,,2,1,2,2,2,1,2,1,1,1,1,1,1,,,,,,,
VULNERABLE GROUPS,VULN9,Number of Nursing Home Support Scheme (NHSS) beds in public long stay units (WORDING),Core Indicator List,,,2,1,2,3,2,1,1,1,1,1,1,4,1,,"THIS INDICATOR IS WORDED INCORRECTLY - ALL BEDS IN PUBLIC UNITS FOR OLDER ADULTS ARE VIA NHSS, NOT ALL BEDS IN PRIVATE nh ARE ACCESSED VIA NHSS ",,,,,
VULNERABLE GROUPS,VULN10,Number of people with an intellectual disability over 65,Core Indicator List,,"IDS TILDA could give more information - is this information from CENSUS and can we break it down by IHA? If not, can look at TILDA",2,1,1,2,1,1,1,0,1,1,1,1,1,,,,,A difficulty with these indicators is that there are very few people with ID aged > 65. IDS-TILDA could advise on the best approach here,,
VULNERABLE GROUPS,VULN11,Gender breakdown of people  with an intellectual disability over 65 (%),Core Indicator List,,"IDS TILDA could give more information - is this information from CENSUS and can we break it down by IHA? If not, can look at TILDA",3,2,1,3,2,1,2,0,1,1,1,1,1,,,,,A difficulty with these indicators is that there are very few people with ID aged > 65. IDS-TILDA could advise on the best approach here,,
VULNERABLE GROUPS,VULN12,Ethnicity of people aged 65+ with an intellectual disability (%),Core Indicator List,,"IDS TILDA could give more information - is this information from CENSUS and can we break it down by IHA? If not, can look at TILDA",2,1,2,3,2,1,1,0,1,3,3,2,2,,,,,A difficulty with these indicators is that there are very few people with ID aged > 65. IDS-TILDA could advise on the best approach here,,
VULNERABLE GROUPS,VULN13,Deprivation level of people aged 65+ with an intellectual disability (%),Core Indicator List,,"IDS TILDA could give more information - is this information from CENSUS and can we break it down by IHA? If not, can look at TILDA",1,1,1,2,2,1,1,0,1,2,3,2,1,,,,,A difficulty with these indicators is that there are very few people with ID aged > 65. IDS-TILDA could advise on the best approach here,,
VULNERABLE GROUPS,VULN14,Employment status of people aged 65+ with an intellectual disability (%),Core Indicator List,SIA61C01,"IDS TILDA could give more information - is this information from CENSUS and can we break it down by IHA? If not, can look at TILDA",2,2,2,4,2,1,2,0,1,1,3,3,1,,,,,A difficulty with these indicators is that there are very few people with ID aged > 65. IDS-TILDA could advise on the best approach here,,
VULNERABLE GROUPS,VULN15,Accommodation status of people aged 65+ with an intellectual disability (%),Core Indicator List,SIA61C09,"IDS TILDA could give more information - is this information from CENSUS and can we break it down by IHA? If not, can look at TILDA",2,1,2,3,2,1,1,0,1,1,3,2,1,,,,,A difficulty with these indicators is that there are very few people with ID aged > 65. IDS-TILDA could advise on the best approach here,,
VULNERABLE GROUPS,VULN16,Self-reported health of people with an intellectual disability (%),Core Indicator List,SIA61C11,"IDS TILDA could give more information - is this information from CENSUS and can we break it down by IHA? If not, can look at TILDA",1,1,1,2,2,1,2,0,1,1,2,1,1,,,,,A difficulty with these indicators is that there are very few people with ID aged > 65. IDS-TILDA could advise on the best approach here,,
HEALTHCARE USE,HUSE1,Percent of people 65 and above with a GP Visit card or Medical Card,HSPAO18C01,SIA97C01,Healthy Ireland? Clarity on definition: consider breakdown by (a) G visit card and (b) medical card,3,1,1,1,1,0,2,1,1,1,1,1,1,proportion with each one useful,,,,,,
HEALTHCARE USE,HUSE2,Percent of people 65 and above who have been admitted to hospital as an inpatient by sex and year,HIS23C01,,,2,1,1,1,1,0,1,1,1,1,1,1,2,,"HOW WILL THE DATA FOR THIS INDICATOR BE CAPTURED - PUBLIC/PRIVATE HOSPITAL, ELECTIVE/EMERGENT ADMISSION SOURCE?",,,,,
HEALTHCARE USE,HUSE3,Percent of people 65 and above who have been admitted as a day care by sex and year,HIS25C01,,,3,1,1,1,2,0,1,1,1,1,1,4,2,,? ACCURACY OF INDICATOR - DO YOU MEAN HOSPITAL DAY ADMISSION - DAY SURGERY/ENDOSCOPY/CHEMO OR day care centre,,,,,
HEALTHCARE USE,HUSE4,Number of ED attendances,Core Indicator List,,Specify for 65 years and over,2,1,1,2,1,0,3,1,1,1,1,1,1,,"REQUIRES AGE BREAKDOWN - 65+, 75+ AND PERCENTAGES (AS PER HSE PERFORMANCE REPORT)",Is this ED attendances for those aged 65+??,,,,
HEALTHCARE USE,HUSE5,Conversion of ED attendances into admissions,Core Indicator List,,Specify for 65 years and over,2,1,2,2,1,0,2,2,1,1,1,1,1,proportion of ED attendances that become admissions would be useful,"REQUIRES AGE BREAKDOWN - 65+, 75+ AND PERCENTAGES (AS PER HSE PERFORMANCE REPORT)",Is this ED to admission conversions specifically for those aged 65+??,,,,
HEALTHCARE USE,HUSE6,Number of home support hours provided to those aged 65 and over (exclusing provision of hours from Intensive Home Care Packages IHCPs) ,Core Indicator List,,,1,2,2,4,1,0,2,1,1,1,2,1,2,,,,,,,
HEALTHCARE USE,HUSE7,Number of people 65+ in receipt of home support - OP54,Core Indicator List,,KPI from HSE - look at HUSE34 home help vs home support,1,1,1,2,1,0,1,1,1,1,1,1,2,,,,,,,
HEALTHCARE USE,HUSE8,Number of persons 65+ in receipt of Intensive Home Care Packages (IHCP) ,Core Indicator List,,,1,1,2,2,2,0,1,1,1,1,2,2,2,,,,,,,
HEALTHCARE USE,HUSE9,"Ischaemic heart disease discharge rate per 1,000 population (65+)",Core Indicator List,,Clarity of definition: Number of persons discharged or number of discharges?,1,1,1,2,3,0,1,1,1,1,1,3,1,,,,,,,
HEALTHCARE USE,HUSE10,"Ischaemic stroke discharge rate for per 1,000 population (65+)",Core Indicator List,,Clarity of definition: Number of persons discharged or number of discharges?,1,1,1,1,3,0,1,1,1,1,1,3,1,,,,,,,
HEALTHCARE USE,HUSE11,"Haemorrhagic stroke discharge rate for  per 1,000 population (65+)",Core Indicator List,,Clarity of definition: Number of persons discharged or number of discharges?,1,1,1,1,3,0,1,3,1,1,1,4,1,Discharge rates provide some useful info - caveat as to whether it will be no. of discharges for IHD or no. of persons discharged,,,,,,
HEALTHCARE USE,HUSE12,"Hypertensive heart disease discharge rate for per 1,000 population (65+)",Core Indicator List,,Clarity of definition: Number of persons discharged or number of discharges?,1,1,1,2,3,0,1,3,1,1,1,4,1,probably needs to be clear for interpretation of data. Doesn’t equate to prevalance of particular conditions,,,,,,
HEALTHCARE USE,HUSE13,"Tracheal, bronchial and lung cancer discharge rate for per 1,000 population (65+)",Core Indicator List,,Clarity of definition: Number of persons discharged or number of discharges?,1,1,1,2,3,0,1,3,1,1,1,4,1,,,,,,,
HEALTHCARE USE,HUSE14,"Breast cancer discharge rate per 1,000 population (65+)",Core Indicator List,,Clarity of definition: Number of persons discharged or number of discharges?,1,1,1,2,3,0,1,3,1,1,1,4,1,,,,,,,
HEALTHCARE USE,HUSE15,"Colorectal cancer discharge rate per 1,000 population (65+)",Core Indicator List,,Clarity of definition: Number of persons discharged or number of discharges?,1,1,1,2,3,0,1,3,1,1,1,4,1,,,,,,,
HEALTHCARE USE,HUSE16,"Back pain discharge rate per 1,000 population (65+)",Core Indicator List,,Clarity of definition: Number of persons discharged or number of discharges?,1,2,1,2,3,0,2,3,1,1,1,3,1,,,,,,,
HEALTHCARE USE,HUSE17,"Osteoarthritis discharge rate per 1,000 population (65+)",Core Indicator List,,Clarity of definition: Number of persons discharged or number of discharges?,2,2,1,2,3,0,1,3,1,1,1,4,1,,,,,,,
HEALTHCARE USE,HUSE18,"Neck pain discharge rate per 1,000 population (65+)",Core Indicator List,,Clarity of definition: Number of persons discharged or number of discharges?,2,2,2,2,3,0,2,3,1,1,1,4,1,,,,,,,
HEALTHCARE USE,HUSE19,"Depression and bipolar disorders discharge rate per 1,000 population (65+)",Core Indicator List,,Clarity of definition: Number of persons discharged or number of discharges?,1,1,1,2,3,0,2,3,1,1,1,4,1,,,,,,,
HEALTHCARE USE,HUSE20,"Anxiety discharges per 1,000 population (65+)",Core Indicator List,,Clarity of definition: Number of persons discharged or number of discharges?,1,1,1,2,3,0,2,3,1,1,1,4,1,,,,,,,
HEALTHCARE USE,HUSE21,"Schizophrenia discharges per 1,000 population (65+)",Core Indicator List,,Clarity of definition: Number of persons discharged or number of discharges?,2,1,1,2,3,0,1,3,1,1,1,4,1,,,,,,,
HEALTHCARE USE,HUSE22,"Diabetes discharges per 1,000 population (65+)",Core Indicator List,,Clarity of definition: Number of persons discharged or number of discharges?,1,1,1,2,3,0,1,3,1,1,1,4,1,,,,,,,
HEALTHCARE USE,HUSE23,"Chronic kidney disease discharges per 1,000 population (65+)",Core Indicator List,,Clarity of definition: Number of persons discharged or number of discharges?,1,1,1,2,3,0,1,3,1,1,1,4,1,,,,,,,
HEALTHCARE USE,HUSE24,"Alzheimer's disease discharges per 1,000 population (65+)",Core Indicator List,,Clarity of definition: Number of persons discharged or number of discharges?,1,1,1,2,3,0,1,3,1,1,1,2,1,,,,,,,
HEALTHCARE USE,HUSE25,"Dementia due to causes other than Alzheimer's disease discharge rate per 1,000 population (65+)",Core Indicator List,,Clarity of definition: Number of persons discharged or number of discharges?,1,1,2,2,3,0,1,3,1,1,2,2,1,,,,,,,
HEALTHCARE USE,HUSE26,"COPD discharges per 1,000 population (65+)",Core Indicator List,,Clarity of definition: Number of persons discharged or number of discharges?,1,1,1,2,3,0,0,3,1,1,1,2,1,,,,,,,Unsure what COPD is
HEALTHCARE USE,HUSE27,"Asthma discharges per 1,000 population (65+)",Core Indicator List,,Clarity of definition: Number of persons discharged or number of discharges?,1,1,1,2,3,0,2,3,1,1,1,2,1,,,,,,,
HEALTHCARE USE,HUSE28,"COVID-19 discharges per 1,000 population (65+)",Core Indicator List,,Clarity of definition: Number of persons discharged or number of discharges?,2,1,1,2,3,0,2,3,2,1,1,4,1,,,,,,,
HEALTHCARE USE,HUSE29,"Lower respiratory infection discharge rate per 1,000 population (65+)",Core Indicator List,,Clarity of definition: Number of persons discharged or number of discharges?,1,1,1,1,3,0,2,3,1,1,1,2,1,,DUPLICATE,,,,,
HEALTHCARE USE,HUSE30,"Falls discharge rate per 1,000 population (65+)",Core Indicator List,,Clarity of definition: Number of persons discharged or number of discharges?,1,1,1,2,3,0,1,3,1,1,1,2,1,,,,,,,
HEALTHCARE USE,HUSE31,Number of older people newly supported with ALONE services (year),Alone,,,1,1,2,4,2,,2,3,1,2,4,2,3,,,,,,,
HEALTHCARE USE,HUSE32,Number of older people in receipt of ongoing support of ALONE Services (year),Alone,,,2,1,2,3,2,,2,3,1,2,2,2,3,,,,,,,
HEALTHCARE USE,HUSE33,Percentage of older adults (65+) who are taking five or more medications,Tilda,,,1,3,1,2,1,,1,1,1,1,1,1,1,,,,,,,
HEALTHCARE USE,HUSE34,Percentage of older adults (65+) who are in receipt of home help,Tilda,,TILDA Look at HUSE7 - home help vs home support,1,1,1,1,1,,1,1,1,1,1,2,1,? Amalgamate with no. 8 and 9,,,,,,
HEALTHCARE USE,HUSE35,Percentage of older adults (65+) who are in receipt of home care package,Tilda,,,1,1,1,1,1,1,1,1,4,1,1,1,1,,,,,,,
HEALTHCARE USE,HUSE36,Percentage of older adults (65+) who are in receipt of Meals-on-Wheels,Tilda,,,2,1,2,1,1,1,1,1,1,1,1,2,1,,,,,,,
HEALTHCARE USE,HUSE37,Percentage of older adults (65+) who attend Day Centre Servcies ,Tilda,,,2,1,2,1,1,1,2,1,4,1,1,2,1,,,,,,,
HEALTHCARE USE,HUSE38,% medicines by ATC codes prescribed to those aged 65+,Tilda,,Sarah: discuss with Tomas also,2,,2,3,3,1,1,1,1,1,4,2,1,,TOP 10 OR 20 OR BY MEDICINES COST/SPEND,,,,Worth discussing this with Tomás also,
HEALTHCARE USE,HUSE39,Number of GP visits in older adults (65+) in the last year,Tilda,,,3,1,1,2,1,1,2,1,1,1,1,1,1,,,,,,,
HEALTHCARE USE,HUSE40,Number of Emergency Department visits in older adults (65+) in the last year,Tilda,,,2,1,1,1,1,1,1,1,1,1,1,4,1,,DUPLICATE,,,,,
HEALTHCARE USE,HUSE41,Number of outpatient visits in older adults (65+) in the last year,Tilda,,,3,1,1,2,1,1,1,1,1,1,1,1,1,,"NEW, REVIEW, SPECIALTY?",,,,,
HEALTHCARE USE,HUSE42,Number of inpatient stays in older adults (65+) in the last year,Tilda,,,2,1,1,1,1,1,2,1,1,1,1,1,1,,,,,,,
HEALTHCARE USE,HUSE43,Length of inpatient stays  in older adults (65+) in the last year,Tilda,,,2,1,1,1,1,1,2,1,1,1,1,1,1,,,,,,,
HEALTHCARE USE,HUSE44,"Congestive Heart Failure discharge rate per 1,000 population (ACS Condition)",Core Indicator List,,Clarity of definition: should this be over 65 years?,1,2,1,1,3,1,1,1,3,1,1,2,1,are these for the general population - not specific to over 65's ? Lower priority given not specified to be over 65's,,,,,,
HEALTHCARE USE,HUSE45,"Pneumonia discharge rate per 1,000 population (ACS Condition)",Core Indicator List,,Clarity of definition: should this be over 65 years?,1,2,1,1,3,1,1,3,3,1,1,4,1,,DUPLICATE,,,,,
HEALTHCARE USE,HUSE46,"Dehydration discharge rate per 1,000 population (ACS Condition)",Core Indicator List,,Clarity of definition: should this be over 65 years?,2,3,1,1,3,1,1,3,3,1,1,2,1,,,,,,,
HEALTHCARE USE,HUSE47,"Angina discharge rate per 1,000 population (ACS Condition)",Core Indicator List,,REPETITION,2,2,1,1,3,1,1,3,3,1,1,2,1,,,,,,,
HEALTHCARE USE,HUSE48,"Iron deficiency anaemia discharge rate per 1,000 population (ACS Condition)",Core Indicator List,,Clarity of definition: should this be over 65 years?,3,3,1,1,3,1,1,3,3,1,4,3,1,,,,,,,
HEALTHCARE USE,HUSE49,"Influenza discharge rate per 1,000 population (ACS Condition)",Core Indicator List,,Clarity of definition: should this be over 65 years?,2,2,1,1,3,1,1,3,3,1,1,2,1,,,,,,,
HEALTHCARE USE,HUSE50,"Angina discharge rate per 1,000 population (ACS Condition)",Core Indicator List,,Clarity of definition: should this be over 65 years?,2,2,1,1,3,1,0,3,3,1,1,4,1,repetition - covered in number 48,DUPLICATE,,,,,duplicate of 48?
HEALTHCARE USE,HUSE51,"UTI discharge rate per 1,000 population (ACS Condition)",Core Indicator List,,REPETITION,2,2,1,1,3,1,1,3,3,1,1,2,1,,,,,,,
HEALTHCARE USE,HUSE52,"Pyelonephritis discharge rate per 1,000 population (ACS Condition)",Core Indicator List,,Clarity of definition: should this be over 65 years?,3,2,1,1,3,1,0,3,3,1,1,2,1,,,,,,,Unsure what this  is
HEALTHCARE USE,HUSE53,"UTI discharge rate per 1,000 population (ACS Condition)",Core Indicator List,,Clarity of definition: should this be over 65 years?,2,3,1,1,3,1,0,3,3,1,1,2,1,repetition of number 52,DUPLICATE,,,,,duplicate of 52?
HEALTHCARE AVAILABILITY AND INTEGRATION,HAVA1,Percentage of older adults (65+)who report unmet need for a community care service,Tilda,,TILDA  ,3,1,2,1,4,1,1,1,1,1,1,3,1,,,,,,,
PROVIDING CARE,PROV1,"Percent of 65+ who provide care or assistance to one or more persons suffering from some age related problem, chronic health condition or infirmity, at least once a week",IH184C01,,Sarah: choose CENSUS over Irish Health Survey,2,1,1,1,1,0,2,1,1,1,3,4,3,,,,,,,
PROVIDING CARE,PROV2,Percent of those 65 and above who do provide care are providing it to a family member,IH184C03,,Sarah: choose CENSUS over Irish Health Survey,2,1,1,1,2,2,2,1,1,1,1,1,2,,,,,,"Preference would be for census variables to be used, especially wrt to the regional aspects. Questions are very different and associated results are also. Census question has caring at 6% and health survey at 12%, different questions. ",
PROVIDING CARE,PROV3,Percent of those 65 and above who are providing less than 10 hours of care per week,IH190C01,,Sarah: choose CENSUS over Irish Health Survey,3,1,2,1,1,2,1,2,1,1,1,2,2,,,,,,,
PROVIDING CARE,PROV4,Percent of those 65 and above who are providing at least 10 but less than 20 hours of care per week,IH190C02,,Sarah: choose CENSUS over Irish Health Survey,3,1,2,1,1,2,1,2,1,1,1,2,2,,,,,,,
PROVIDING CARE,PROV5,Percent of those 65 and above who are providing care  20 hours per week or more,IH190C03,,Sarah: choose CENSUS over Irish Health Survey,3,1,2,1,1,2,1,2,1,1,1,2,2,,,,,,,
PROVIDING CARE,PROV6,Percentage of older adults who provide care to children and/or grandchildren (Who and how often),Tilda,,TILDA,3,1,2,1,2,2,2,2,1,1,4,1,2,,,,,,,
CONNECTIONS AND PARTICIPATION,CONN1,Percentage distribution of journeys by purpose for 65 and over,NTA119C01,,Clarify definition: National Travel Survey - due again this year,2,3,2,4,3,3,2,4,3,1,3,3,3,difficult to understand this indicator and what it is trying to capture,unclear,,,,"Last asked in 2021, will be published again in the summer",Utility depends on purpose categories
CONNECTIONS AND PARTICIPATION,CONN2,Number of Persons 65+ and over taking Annual Outbound Overnight Trips for Personal purpose ,HTA20C02,,National Travel Survey - due again this year,3,3,3,4,3,3,3,4,1,3,4,3,4,,unclear,,,,"Last asked in 2021, will be published again in the summer",
CONNECTIONS AND PARTICIPATION,CONN3,Percent of those 60 years and over who used the internet in the last 3 months,ICA96,,,3,1,1,3,1,1,2,1,1,1,1,2,2,,,,,,,
CONNECTIONS AND PARTICIPATION,CONN4,Percentage of individuals 65 and above who are feeling lonely by frequency and year,WBB22C01,,SILC 2024 - overlaps with other loneliness parameters,2,1,1,2,1,1,1,1,4,3,1,4,2,,duplicate,need to consolidate all of the loneliness indicators and choose one,Reported also in an another indicator?duplication,,,overlaps with other loneyness indicators on prev tabs
CONNECTIONS AND PARTICIPATION,CONN5,"Percent of Persons 65+ who are close enough to people that they could count on, if they had a serious problem (None, 1-2, 3-5, 6+)",IH166C01,,Preferred indicator over HOUS7,2,1,2,3,1,1,1,2,1,2,2,2,3,,,,,,"similar to variable in housing (help from neighbours), may be more relevant here",
CONNECTIONS AND PARTICIPATION,CONN6,Proportion of the population 65+ who regularly engage in helping or voluntary work in any of the following activities without pay: A social or charitable organisation; A religious group or church; A sporting organisation; A political organisation; In your community; No.,Direct from Census,,CENSUS: similar to CONN9 - which to choose?,3,1,2,2,1,1,2,1,1,1,2,2,2,,,,,,,
CONNECTIONS AND PARTICIPATION,CONN7,Percentage of older adults(65+)who engage in one or more social leisure activity at least once a week,Tilda,,,2,1,2,2,1,1,2,1,1,1,3,0,2,,,,,,,
CONNECTIONS AND PARTICIPATION,CONN8,Percentage of older adults (65+) attending religious services,Tilda,,,2,1,2,3,2,2,2,1,1,1,3,3,2,,,,,,,
CONNECTIONS AND PARTICIPATION,CONN9,Percentage of older adults (65+) who volunteer,Tilda,,TILDA: but similar to CONN6 - which to choose?,2,1,2,2,1,2,2,1,1,3,3,4,2,,duplicate,Note another indicator above from Census regarding 'regulalry engage in helping or voluntary work in a number of activities without pay',,,,
CONNECTIONS AND PARTICIPATION,CONN10,"Percentage of older adults (65+) who are members of organisations, clubs, societies",Tilda,,,3,1,2,2,2,2,2,1,1,1,3,2,3,,,,,,,
EDUCATION AND SKILLS ,EDUS1,Persons Aged 65 - 74 Years Engaged in Life-Long Learning,QLF40C01,,Note that Labour Force Survey definition is different from standard - therefore clarify defintion,3,1,3,2,2,3,2,2,1,1,3,2,4,,why limited to 74 yrs?,,,,"LFS lifelong learning definition differs from the standard irish one, excludes informal learning",
EDUCATION AND SKILLS ,EDUS2,Population aged 65 years and over by highest level of education completed (%),F8039C02,,,3,1,2,2,1,1,2,1,1,1,3,2,2,,,,,,,
SAFETY,SAFE1,Recorded crime victims of selected offences by age of victim when offence occurred and year reported,CVA04C01,,Note small numbers 65 years and over,2,1,1,4,1,2,1,2,1,1,2,3,4,,INTERESTING - DATA SOURCE?,,,,Quite small 65+ numbers,
SAFETY,SAFE2,Number of road users 65 and above who were Killed and Injured Casualties by sex and year,ROA16C3,,,2,1,1,1,4,3,3,3,1,1,4,3,3,,interesting - will RSA GIVE THAT INFO?,,,,,
HOUSING AND ENVIRONMENT,HOUS1, Housing tenure status by age group of reference person and census year,F2017BC02,,Also add percentage,2,1,1,2,1,1,1,1,1,1,2,1,2,,,,,,% may also be useful contextually,
HOUSING AND ENVIRONMENT,HOUS2,Number of Persons aged 65+ in Private Households ,F3084C01,,Also add percentage (prefer percentage if only one can be used),2,1,1,2,1,2,2,1,1,1,1,1,3,,,,,,Number and % are useful but preference would be % if only one could be included. Number will increase as a result of pop increase. ,
HOUSING AND ENVIRONMENT,HOUS3,Number of Persons aged 65 years and over living alone in private households ,F3084C02,,Also add percentage (prefer percentage if only one can be used),1,1,1,1,1,2,1,1,1,1,1,1,3,,,,,,Number and % are useful but preference would be % if only one could be included. Number will increase as a result of pop increase. ,
HOUSING AND ENVIRONMENT,HOUS4,Percentage of persons 65 and above living alone in private households,F3084C03,,,1,1,1,1,2,1,1,1,1,1,1,1,3,,,,,,,
HOUSING AND ENVIRONMENT,HOUS5,Percent of 65+ who owns an Electric Vehicle (EV),NTA76C01,,,4,3,3,4,3,4,4,3,3,3,4,3,4,,,,,,,
HOUSING AND ENVIRONMENT,HOUS6,Persons aged 65 and older - Some difficulty in doing household activities (%),IH204C01,,Irish Health Survey: TILDA may be preferable (see STAT40),3,2,1,2,1,2,2,1,1,3,1,4,3,,DUPLICATE,Need to check indicator description,Reported on another indicator also?,,Census health variable may be more relevant (ADL equivalent mentioned in previous section),
HOUSING AND ENVIRONMENT,HOUS7,Percent of people 65 and above experiencing degrees of ease of getting practical help from neighbours,IH178C01,,CONN5 is preferred indicator,3,3,2,3,1,2,2,3,2,3,4,3,4,"This once in connections section maybe better: Percent of Persons 65+ who are close enough to people that they could count on, if they had a serious problem (None, 1-2, 3-5, 6+)",,"Is this similar to the indicaotr under connections 'Percent of Persons 65+ who are close enough to people that they could count on, if they had a serious problem (None, 1-2, 3-5, 6+)'",,,,
FINANCES,FINA1,Median Real Household Disposable Income,SIA61C01,SIA61C01,,1,1,2,2,1,1,3,1,1,0,4,2,3,,,,,,,
FINANCES,FINA2,"Percent of people 65 and above who are At Risk of Poverty Rate (The at-risk-of-poverty rate measures the percentage of people whose income falls below a set threshold, typically 60% of the national median income)",SIA61C09,SIA61C09,Difficulty with definitions and need to discuss how to represent poverty indicators,1,1,1,2,1,1,2,1,1,0,1,1,3,,,,,,"All valid statistics but challenging for people unaware of them to understand the differences between 'at risk of poverty', 'consistent poverty' and 'finding it difficult to make ends meet' even with definitions",
FINANCES,FINA3,Consistent Poverty Rate for those over 65+ (%) (Consistent poverty is a broader measure that considers both income poverty and the experience of deprivation (inability to afford basic necessities),SIA61C11,SIA61C11,,1,1,1,2,1,1,2,1,1,2,4,4,3,,WOULD NEED TO DISUCSS THIS AND THE MEASURE ABOVE TO DETERMINE WHICH IS BETTER FIT,There are a number of indicators on poverty - 'Consistent' and 'At risk of poverty' - don’t know which one is most appropriate?  ,,,,
FINANCES,FINA4,Percent of Household compositions (1 adult aged 65+or 2 adults with at least 1 aged 65+) who are finding it difficult in Making Ends Meet by year,SIA97C01,SIA97C01,Sarah: WBB12C02 Satisfaction with finanical situation may be a more useful table to include,1,1,2,2,2,1,2,2,1,1,4,2,3,,,,,,Satisfaction with financial situation  -  WBB12C02; Aged 65 years and over  may also be a useful table to include,
EMPLOYMENT,EMPL1,The percent of the population aged 65 and older who are employed or actively seeking employment,QLF18C02,,"May be difficult for the everyday user to interpret. Ob from the statistician responsible for the LFS - the rates we produce are defined by the ILO so the 15% is for anyone 65 and over in this case, 1% is 65-74 year olds while there is no employment rate for 65+ as they are not in the parameters of the statistic. The actual employment number in the table is not limited by the ILO so it will refer to all over 65 year olds for Labour Force, Employment and Unemployment. - PES statistics in the demographics may be more relevant",3,2,2,3,1,3,3,2,1,1,2,1,3,,,,,,"May be difficult for the everyday user to interpret. Ob from the statistician responsible for the LFS - the rates we produce are defined by the ILO so the 15% is for anyone 65 and over in this case, 1% is 65-74 year olds while there is no employment rate for 65+ as they are not in the parameters of the statistic. The actual employment number in the table is not limited by the ILO so it will refer to all over 65 year olds for Labour Force, Employment and Unemployment. - PES statistics in the demographics may be more relevant",
,,,,,,,,,,,,,,,,,,,,"Delirium, frailty missing",,No mention of sexual health indicators? ,,,
FINANCES,FINA5,Percent of population aged 65+  experiencing enforced deprivation,SIA61C10,SIA61C10,added 07062025 - recommended by CSO,,,,,,,,,,,,,,,,,NB over 50s available but would have to request over 65s,,,