Status (included or 'maybe included'),DOMAIN,SORT CODE,STEPHEN CODE,INDICATOR,NOTES Thur 26th June - 2nd refinement for Delphi,DEFINITIONS/What we mean,RESPONDENT 1,RESPONDENT 2,RESPONDENT 3,RESPONDENT 4,RESPONDENT 5,RESPONDENT 6,RESPONDENT 7,RESPONDENT 8,RESPONDENT 9,RESPONDENT 10,RESPONDENT 11,RESPONDENT 12,RESPONDENT 13,Sum,Denominator,Score,Number of 1 scores,Number of 2 scores,Number of 3 scores,Number of 4 scores,Unnamed: 27,TERESA NOTE (DATA PROVENANCE),ROB CATALOGUE NOTE,PREP MEETING NOTES,notes JM,notes GH,notes TB,notes CL,notes MW,notes SC,notes RB
duplicate,DEMOGRAPHICS,DEMO1,,Estimated population aged 65 years and over by sex and year ('000),This is a duplicate - delete it ,,1,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,14.0,13.0,1.08,12.0,1.0,0.0,0.0,,PEA01,,? Remove because this is estimated (Projected inter-censal years?),,,,,,,
included,DEMOGRAPHICS,DEMO8,Population demographics,Number and proportion of population aged 65 years and over,,The total number and percentage of people in the population who are aged 65 years or older.,1,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,14.0,13.0,1.08,12.0,1.0,0.0,0.0,,Core Indicator List,,,,,,,,Proportion to total population? ,Seems to overlap with row 2
included,VULNERABLE GROUPS,VULN2,Living arrangements,Number of homeless persons aged 65 years and over,,The number of people aged 65 years and over who are in accomodation designated for the homeless or sleeping rough. ,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,14.0,13.0,1.08,12.0,1.0,0.0,0.0,,Core Indicator List,,,,,,,,,
included,VULNERABLE GROUPS,VULN3,Population demographics,Number of Travellers aged 65 years and over,,The number of people from the Traveller community who are aged 65 years or older.,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,14.0,13.0,1.08,12.0,1.0,0.0,0.0,,Core Indicator List,,,,,,,,,
included,HEALTHCARE USE,HUSE35,Home and community supports,Percentage of older adults (65 years and over) who are in receipt of home care package,,"The percentage of adults aged 65 years or over receiving organised care services in their own home, such as personal care or nursing.",1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,16.0,13.0,1.23,12.0,0.0,0.0,1.0,,Tilda,,,,,,,,,
included,DEMOGRAPHICS,DEMO5,Socioeconomic status,Deprivation distribution by 8-point Pobal HP index for those aged 65 and over,,"How adults aged 65 years and over are spread across different levels of social and economic disadvantage in an area, based on the Pobal HP Deprivation Index.  The Pobal HP Deprivation Index is Ireland's primary social gradient tool.  Based on the latest Census information (in this case Census 2022) it reveals the profile of communities across Ireland. The Pobal HP Deprivation Index uses data from Census 2022, analysing ten measures of an area’s levels of disadvantage. These include educational attainment, employment status and the numbers living in individual households.",1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,15.0,13.0,1.15,11.0,2.0,0.0,0.0,,Core Indicator List,,,,,,,,,
included,DEMOGRAPHICS,DEMO6,Population demographics,Ethnicity of those aged 65 years and over,,The ethnic background or identity of people aged 65 years and over.,1,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,15.0,13.0,1.15,11.0,2.0,0.0,0.0,,Core Indicator List,,,,,,,,,
included,HEALTH BEHAVIOURS,BEHV15,"Smoking, alcohol and lifestyle",Persons who smoke: Proportion of population aged 65 years and over who smoked tobacco. (Displayed as: Yes - daily;  Yes - occasionally; No - have given up smoking; Never),ok to leave in reference to 'Displayed as: Yes - daily;  Yes - occasionally; No - have given up smoking; Never)_,"The percentage of  people  aged 65 years and over who currently smoke, used to smoke, or have never smoked.",1,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,15.0,13.0,1.15,11.0,2.0,0.0,0.0,,Direct from Census,,,,,,,,,
included,HEALTH STATUS,STAT39,Falls and mobility,Percentage of older adults (aged 65 years and over) who reported a fall in the previous two years,,The proportion of adults aged 65 years and over who said they had a fall or trip in the last two years.,1,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,15.0,13.0,1.15,11.0,2.0,0.0,0.0,,Tilda,Tilda,,,,,,,,
included,HEALTHCARE USE,HUSE42,Hospital admissions,Number of inpatient stays in older adults aged 65 years and over in the last year,,The number of times people aged 65 years and over were admitted to hospital and stayed overnight in the past year.,2,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,15.0,13.0,1.15,11.0,2.0,0.0,0.0,,Tilda,,,,,,,,,
included,HEALTHCARE USE,HUSE43,Hospital admissions,Length of inpatient stays  in older adults aged 65 years and over in the last year,,The average number of days that adults aged 65 years and over spent in hospital during inpatient admissions during the last year,2,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,15.0,13.0,1.15,11.0,2.0,0.0,0.0,,Tilda,,,,,,,,,
included,VULNERABLE GROUPS,VULN7,Living arrangements,Number of persons aged 65 years and over usually resident in a nursing home home/residential facility or hospital by sex and census year,,The number of people aged 65 years and older who live long-term in care facilities or hospitals.,2,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,15.0,13.0,1.15,11.0,2.0,0.0,0.0,,Core Indicator List,,,,,,,,,
included,CHRONIC DISEASES,CHRD2,Cardiovascular conditions,Percentage of older adults aged 65 years and over who have a cardiovascular disease,,"The proportion of adults aged 65 years and over who have a heart-related illness such as heart attack, angina, or stroke.",1,1.0,1.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,16.0,13.0,1.23,11.0,1.0,1.0,0.0,,Tilda,,,,,,,,,
included,CHRONIC DISEASES,CHRD3,Pain,Percentage of older adults aged 65 years and over who report severe or moderate pain most of the time,,The percentage of people aged 65 years and over who regularly experience moderate or severe pain.,1,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,16.0,13.0,1.23,11.0,1.0,1.0,0.0,,Tilda,,,,,,,,,
included,CHRONIC DISEASES,CHRD5,Mental health,Percentage of older adults aged 65 years and over with depression (CESD-8),,"The percentage of adults aged 65 years and over who report symptoms of depression, measured using a standard survey tool.",1,1.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,16.0,13.0,1.23,11.0,1.0,1.0,0.0,,Tilda,,Bring into broader discussion about loneliness as well - consider SILC data 2024,,,Note previous reference to 65+ feeling downhearted and depressed - SILC 2024 data  indicator WBB22C03,,Not necessarilty CED-8 but some measure of depressive symptomology is essential,,
included,HEALTHCARE USE,HUSE41,Outpatient visits,Number of outpatient visits in older adults aged 65 years and over in the last year,,"The number of times adults aged 65 years and over attended hospital appointments, but without being admitted overnight, in the past year.",3,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,16.0,13.0,1.23,11.0,1.0,1.0,0.0,,Tilda,,,,"NEW, REVIEW, SPECIALTY?",,,,,
included,HOUSING AND ENVIRONMENT,HOUS3,Living arrangements,Number of Persons aged 65 years and over living alone in private households ,,The number of adults aged 65 years and over who live by themselves in their own home or apartment.,1,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,16.0,13.0,1.23,11.0,1.0,1.0,0.0,,F3084C02,,Also add percentage (prefer percentage if only one can be used),,,,,,Number and % are useful but preference would be % if only one could be included. Number will increase as a result of pop increase. ,
included,HOUSING AND ENVIRONMENT,HOUS4,Living arrangements,Percentage of persons aged 65 years and over living alone in private households,,The percentage of adults aged 65 years and overwho live alone in private homes.,1,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,16.0,13.0,1.23,11.0,1.0,1.0,0.0,,F3084C03,,,,,,,,,
included,HEALTHCARE USE,HUSE40,Emergency department use,Number of Emergency Department visits in older adults aged 65 years and over in the last year,,The number of times people aged 65 years and over went to the hospital Emergency Department in the past year.,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,17.0,13.0,1.31,11.0,1.0,0.0,1.0,,Tilda,,,,DUPLICATE,,,,,
included,HEALTH STATUS,STAT9,Population demographics,Percentage of Persons aged 65 years and over with a Disability ,,The percentage of adults aged 65 years and over who report having a disability that affects their daily life.,1,1.0,1.0,3.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,14.0,12.0,1.17,11.0,1.0,0.0,0.0,,F4001C01,F4001C01,,,,,,,,
included,HEALTH STATUS,STAT1,Loneliness and wellbeing,Healthy Life Years (HLY) at age 65 years,,The number of years a person aged 65 years can expect to live in good health without a serious illness or disability.,3,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,17.0,13.0,1.31,11.0,0.0,2.0,0.0,,WBD08C01,WBD08C01,,,,,,,"All variables with ID starting ""WBD"", ""IH"" or ""HIS"" likely only available nationally. IH 2024 onwards available by health region",Definion of HLY is unknown to me
included,CHRONIC DISEASES,CHRD1,Frailty and multimorbidity,Percentage of older adults aged 65 years and over who have a chronic disease,,"The proportion of  people aged 65 years and over living with one or more long-term health conditions such as diabetes, arthritis, or heart disease.",1,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,18.0,13.0,1.38,11.0,0.0,1.0,1.0,,Tilda,,,,duplicate to HISO7CO1 ON HEALTH STATUS DOMAIN - ? WHICH IS SUPERIOR,,,,,
included,HEALTHCARE USE,HUSE34,Home and community supports,Percentage of older adults aged 65 years and over who are in receipt of home help,,"The percentage of people aged 65 years and over receiving basic support services at home like cleaning, shopping, or help with daily tasks.",1,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,13.0,12.0,1.08,11.0,0.0,0.0,0.0,,Tilda,,TILDA Look at HUSE7 - home help vs home support,? Amalgamate with no. 8 and 9,,,,,,
included,HEALTHCARE USE,HUSE36,Home and community supports,Percentage of older adults aged 65 years and over who are in receipt of Meals-on-Wheels,,The percentage of adults aged 65 years and over who receive ready-to-eat meals delivered to their homes.,2,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,16.0,13.0,1.23,10.0,3.0,0.0,0.0,,Tilda,,,,,,,,,
included,DEMOGRAPHICS,DEMO2,Population demographics,Projected population aged 65 years and over by age group and year using the M2 projection scenario ,Explanation of M2 project scenario definition. DMcK done. Decision made 01.07.25 to remove ('000),"Estimated future numbers of people aged 65 years and over based on national population projections (M2 scenario). M2 assumption for population projection: this is an assumption for the purposes of predicting population growth, in which the presumed migration is at a moderate level.",1,1.0,1.0,1.0,3.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,17.0,13.0,1.31,10.0,2.0,1.0,0.0,,PEC23C01,,Possibly keep instead of DEMO9,,,Clarification required between this indicator and the one below A10 (number and proportion of 65+ population (projected),,,,
duplicate,HEALTH STATUS,STAT11,,Percentage of people 65 and above with a confirmed long-term condition,This is a duplicate - delete it ,,2,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,17.0,13.0,1.31,10.0,2.0,1.0,0.0,,HIS07C01,HIS07C01,,,,This is a Healthy Ireland indicator.   Should the SILC or Irish Health survey be used instead,,,"As above, also collected in SILC and IHS. ",
included,HEALTH STATUS,STAT21,Vision and hearing,Number of people aged aged 65 years and over who are blind or have a visual impairment,,The number of people aged 65 years and over who report being blind or having difficulty seeing even with glasses.,1,1.0,1.0,1.0,3.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,17.0,13.0,1.31,10.0,2.0,1.0,0.0,,Core Indicator List,Core Indicator List,"Clarity on definition - what is the definition of ""blind""",,,,,,Does visual impairment include glasses or contact lenses?,
included,HEALTHCARE USE,HUSE39,Primary and community care,Number of GP visits in older adults aged 65 years and over in the last year,,The number of times people aged 65 years and over visited a general practitioner (GP) in the past year.,3,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,17.0,13.0,1.31,10.0,2.0,1.0,0.0,,Tilda,,,,,,,,,
included,HEALTHCARE USE,HUSE2,Hospital admissions,Percentage of people aged 65 years and over who have been admitted to hospital as an inpatient by sex and year,,"The percentage of adults aged 65 years and over who were admitted to hospital overnight or longer, shown by sex and year.",2,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,14.0,12.0,1.17,10.0,2.0,0.0,0.0,,HIS23C01,,,,"HOW WILL THE DATA FOR THIS INDICATOR BE CAPTURED - PUBLIC/PRIVATE HOSPITAL, ELECTIVE/EMERGENT ADMISSION SOURCE?",,,,,
included,HEALTHCARE USE,HUSE7,Primary and community care,Number of people aged 65 years and over in receipt of home support - OP54,,The number of adults aged 65 years and over who receive formal home support services under the OP54 national reporting measure.,1,1.0,1.0,2.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,14.0,12.0,1.17,10.0,2.0,0.0,0.0,,Core Indicator List,,KPI from HSE - look at HUSE34 home help vs home support,,,,,,,
included,VULNERABLE GROUPS,VULN10,Intellectual disability,Number of people with an intellectual disability aged 65 years and over,,The number of adults aged 65 years and over who have a diagnosed intellectual disability.,2,1.0,1.0,2.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,14.0,12.0,1.17,10.0,2.0,0.0,0.0,,Core Indicator List,,"IDS TILDA could give more information - is this information from CENSUS and can we break it down by IHA? If not, can look at TILDA",,,,,A difficulty with these indicators is that there are very few people with ID aged > 65. IDS-TILDA could advise on the best approach here,,
included,CHRONIC DISEASES,CHRD6,"Smoking, alcohol and lifestyle",Percentage of older adults aged 65 years and over who report problematic alcohol use (CAGE measure),change 'ho' to 'who',The percentage of adults aged 65 years and over who may have alcohol-related problems based on the CAGE screening questionnaire.,1,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,18.0,13.0,1.38,10.0,1.0,2.0,0.0,,Tilda,,Bring into broader discussion about loneliness as well - consider SILC data 2024,I think this should read CAGE measure,,note previous reference to alcohol consumption under health behaviours and comment re the need to select indicator on binge drinking (H.I. survey source),,,,
included,HEALTHCARE USE,HUSE1,Primary and community care,Percentage of people aged 65 years and over with a GP Visit card or Medical Card,,The proportion of  adults aged 65 years and over who are eligible for free or subsidised healthcare under state schemes.,3,1.0,1.0,1.0,1.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,15.0,12.0,1.25,10.0,1.0,1.0,0.0,,HSPAO18C01,SIA97C01,Healthy Ireland? Clarity on definition: consider breakdown by (a) G visit card and (b) medical card,proportion with each one useful,,,,,,
included,HEALTHCARE USE,HUSE33,Medication and prescribing,Percentage of older adults aged 65 years and over who are taking five or more medications,,The proportion of adults aged 65 years and over who are on five or more prescribed medications (known as polypharmacy).,1,3.0,1.0,2.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,15.0,12.0,1.25,10.0,1.0,1.0,0.0,,Tilda,,,,,,,,,
included,HEALTH STATUS,STAT33,Population demographics,Population by general health.  Self-reported general health of older adults aged 65 years and over (Displayed  as: Very good; Good; Fair; Bad; Very bad; Not stated),,"The proportion of adults aged 65 years and over who rate their own general health, from very good to very bad.",2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,4.0,1.0,20.0,13.0,1.54,10.0,1.0,0.0,2.0,,HAI Census parameters,HAI Census parameters,,,duplicate,,,,,
included,HEALTHCARE USE,HUSE10,Cardiovascular conditions,"Ischaemic stroke discharge rate per 1,000 population aged 65 years and over",Discharge rate had (65+) included; changed to aged 65 years and over - amend definition ,"The number of adults aged 65 years and over who have been discharged from hospital after a stroke caused by a blocked artery, per 1,000 population aged 65 years and over.",1,1.0,1.0,1.0,3.0,0.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,16.0,12.0,1.33,10.0,0.0,2.0,0.0,,Core Indicator List,,Clarity of definition: Number of persons discharged or number of discharges?,,,,,,,
included,HOUSING AND ENVIRONMENT,HOUS1,Living arrangements,Housing tenure status by age group of reference person and census year,,"The proportion of adults aged 65 years and over who own or rent their home, or have another housing arrangement, by age group.",2,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,17.0,13.0,1.31,9.0,4.0,0.0,0.0,,F2017BC02,,Also add percentage,,,,,,% may also be useful contextually,
included,DEMOGRAPHICS,DEMO13,Caregiving,"Carers by sex: Proportion of the population aged 65 years and over providing regular unpaid care or support to a family member, neighbour or friend with a long-term illness, old age or a disability. Displayed as: Female; Male. ",,"The proportion of people aged 65 years and over who regularly provide unpaid care or help, shown separately for men and women.",3,1.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,18.0,13.0,1.38,9.0,3.0,1.0,0.0,,HAI Census parameters,,,Also many over 65's provide care to grandchildren,,,,,,
included,DEMOGRAPHICS,DEMO15,Socioeconomic status,Proportion of Population aged 65 years and over by social class and sex.,,"The proportion of people aged 65 years and over, by occupational social class and sex.",1,1.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,18.0,13.0,1.38,9.0,3.0,1.0,0.0,,Direct from Census,,,,,,,,,
duplicate,DEMOGRAPHICS,DEMO9,,Number and proportion of population aged 65 years and over (projected),This is a duplicate - delete it ,,1,1.0,1.0,3.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,18.0,13.0,1.38,9.0,3.0,1.0,0.0,,Core Indicator List,,Similar to DEMO2? But DEMO9 is not very clear and DEMO2 may be clearer and more specific,,,,,,Proportion to total population? ,
included,HEALTH BEHAVIOURS,BEHV16,Vaccinations,Percentage of older adults aged 65 years and over who have had a flu vaccine in the previous two years,,The proportion of people aged 65 years and over who received a flu vaccine in the last two years.,1,1.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,3.0,1.0,1.0,1.0,18.0,13.0,1.38,9.0,3.0,1.0,0.0,,Tilda,,,,,Source flu vaccine data for 65+  from HPSC instead of TILDA,,,,
included,VULNERABLE GROUPS,VULN6,"Smoking, alcohol and lifestyle",Smoking prevalence among Travellers aged 65 years and over,,The proportion of adults aged 65 years and over in the Traveller community who currently smoke.,1,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,2.0,18.0,13.0,1.38,9.0,3.0,1.0,0.0,,Core Indicator List,,,,,,,,,
included,HEALTHCARE USE,HUSE44,Cardiovascular conditions,"Congestive Heart Failure discharge rate per 1,000 population aged 65 years and over",remove word and bracket - (ACS condition) and add age cohort aged 65 years and over,"The number of hospital discharges of people with heart failure aged 65 years and over, per 1,000 population.",1,2.0,1.0,1.0,3.0,1.0,1.0,1.0,3.0,1.0,1.0,2.0,1.0,19.0,13.0,1.46,9.0,2.0,2.0,0.0,,Core Indicator List,,Clarity of definition: should this be over 65 years?,are these for the general population - not specific to over 65's ? Lower priority given not specified to be over 65's,,,,,,
included,FINANCES,FINA2,Socioeconomic status,"Percentage of people aged 65 years and over who are At Risk of Poverty (The at-risk-of-poverty rate measures the percentage of people whose income falls below a set threshold, typically 60% of the national median income)",,"The proportion of adults aged 65 years and over whose income is below the poverty threshold, typically 60% of the median income.",1,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,3.0,16.0,12.0,1.33,9.0,2.0,1.0,0.0,,SIA61C09,SIA61C09,Difficulty with definitions and need to discuss how to represent poverty indicators,,,,,,"All valid statistics but challenging for people unaware of them to understand the differences between 'at risk of poverty', 'consistent poverty' and 'finding it difficult to make ends meet' even with definitions",
included,HEALTHCARE USE,HUSE4,Emergency department use,Number of ED attendances,"remove temporarily for delphi survey - and revisit for inclusion in the DATA CATALOGUE.
delete HUSE4 (Core indicators) - no time period given; HUSE40 (TILDA) is the same indicator, but with a time line 'within the last year)",Number of times people aged 65 years and over went to an Emergency Department.,2,1.0,1.0,2.0,1.0,0.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,16.0,12.0,1.33,9.0,2.0,1.0,0.0,,Core Indicator List,,Specify for 65 years and over,,"REQUIRES AGE BREAKDOWN - 65+, 75+ AND PERCENTAGES (AS PER HSE PERFORMANCE REPORT)",Is this ED attendances for those aged 65+??,,,,
included,HEALTHCARE USE,HUSE11,Cardiovascular conditions,"Haemorrhagic stroke discharge rate for  per 1,000 population aged 65 years and over",Discharge rate had (65+) included; changed to aged 65 years and over,"The number of hospital discharges of people aged 65 years and over with stroke caused by bleeding in the brain, per 1,000 population",1,1.0,1.0,1.0,3.0,0.0,1.0,3.0,1.0,1.0,1.0,4.0,1.0,19.0,12.0,1.58,9.0,2.0,0.0,1.0,,Core Indicator List,,Clarity of definition: Number of persons discharged or number of discharges?,Discharge rates provide some useful info - caveat as to whether it will be no. of discharges for IHD or no. of persons discharged,,,,,,
duplicate,HEALTH STATUS,STAT2,,"Percent of persons over 65+ who are underweight, normal weight, overweightor obese",This is a duplicate - delete it,,1,1.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,1.0,1.0,20.0,13.0,1.54,9.0,1.0,3.0,0.0,,IH308C01,IH308C01,Irish Health Survey - very similar to STAT42,? Should this one come from TILDA ,,2 indicators on O/Weight & Obesity:   A3 source is from Irish Health Survey 2019.  A43 below is a TILDA indicator  Discussion required to select one only. ,,,,
included,HEALTHCARE AVAILABILITY AND INTEGRATION,HAVA1,Caregiving,Percentage of older adults aged 65 years and over who report unmet need for a community care service,,"The proportion of people aged 65 years and over who needed, but didn't get, services like home help or community nursing.",3,1.0,2.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,21.0,13.0,1.62,9.0,1.0,2.0,1.0,,Tilda,,TILDA  ,,,,,,,
included,HEALTHCARE USE,HUSE9,Cardiovascular conditions,"Ischaemic heart disease discharge rate per 1,000 population aged 65 years and over",Discharge rate had (65+) included; changed to aged 65 years and over,"The number of hospital discharges of people aged 65 years and over with stroke caused by blockage or narrowing of arteries, per 1,000 population",1,1.0,1.0,2.0,3.0,0.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,17.0,12.0,1.42,9.0,1.0,2.0,0.0,,Core Indicator List,,Clarity of definition: Number of persons discharged or number of discharges?,,,,,,,
included,DEMOGRAPHICS,DEMO14,Socioeconomic status,Population aged 65 years and over  by principal economic status: At work; Looking for first regular job; Unemployed short term; Unemployed long term; Student; Looking after home/family; Retired; Unable to work due to permanent sickness or disability; Other.,,"The proportion of adults aged 65 years and over who are retired, still working, unemployed, unable to work due to illness, or in other categories.",2,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,18.0,13.0,1.38,8.0,5.0,0.0,0.0,,Direct from Census,,,,,,,,,
included,PROVIDING CARE,PROV2,Caregiving,"Percentage of people aged 65 years and over who do provide care and are providing it to a family member
",changed to aged 65 years and over,"Among carers aged 65 years and over, the percentage who provide care to a family member.",2,1.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,18.0,13.0,1.38,8.0,5.0,0.0,0.0,,IH184C03,,Sarah: choose CENSUS over Irish Health Survey,,,,,,"Preference would be for census variables to be used, especially wrt to the regional aspects. Questions are very different and associated results are also. Census question has caring at 6% and health survey at 12%, different questions. ",
included,VULNERABLE GROUPS,VULN8,Caregiving,Number of persons funded under Nursing Home Support Scheme (NHSS) in long term residential care,,The number of people aged 65 years and over who are in long-term care funded by the Nursing Home Support Scheme.,2,1.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,18.0,13.0,1.38,8.0,5.0,0.0,0.0,,Core Indicator List,,,,,,,,,
